		,,,,,
,,Do they recycle....,,,
Local Zip Code,Name,Compost,E-waste,Metal,Plastics
92111,Mirimar Recycling Center,No,Yes,Yes,Yes
92111,SD Recycling Depot,No,No,Yes,Yes
All over SD,EcoATM,No,Yes,No,No
92111,J and S Recycling center,No,No,Yes,Yes
92108,One Earth Recycling,No,Yes,Yes,Yes
92110,Urban Corps Recycling Services,No,Yes,Yes,Yes
92113,Time Recycling Center,No,Yes,Yes,Yes
92102,Mojica's Recycle,No,No,Yes,Yes
92102,San Diego CRV Center,No,No,Yes,Yes
92105,American Recycling,No,No,Yes,Yes
92102,Avritek,No,No,Yes,Yes
92113,Ecco recycling,No,No,Yes,Yes
92113,SA Recycling SD,No,Yes,No,No
92113,IMS Recycling Services Inc,No,No,Yes,Yes
91950,JW Metals,No,No,Yes,No
All over SD,Ponce Recycling,No,Yes,Yes,Yes
91911,South Bay Recycling,No,Yes,Yes,Yes
91911,Riley Recycling,No,Yes,Yes,Yes
91911,Mike's Recycling,No,Yes,Yes,Yes
91911,Amswede Recycling,No,Yes,Yes,Yes
92139,rePlanet,No,No,Yes,Yes
92114,Amermex Recycling Inc.,No,No,Yes,Yes
92114,3 Amigo Recycling,No,No,Yes,Yes
91977,Spring Valley Recycling,No,No,Yes,Yes
91977,Plaza Alta Recycling,No,No,Yes,Yes
91977,Try Recycling,No,No,Yes,Yes
91977,Campo Recycling Center,No,No,Yes,Yes
91977,Sna Diego County Recycling,No,Yes,Yes,Yes
91945,EDCO Recycling Buyback Center,No,No,Yes,Yes
92115,United Implant Recycling,No,No,Yes,Yes
92071,Quiroz Recycling,No,No,Yes,Yes
92020,All ways Metal Recycling,No,Yes,Yes,Yes
92020,Universal Waste Disposal,No,Yes,Yes,No
92020,American Recycling llc,No,No,Yes,Yes
92021,Greenfield Recycling Center,No,No,Yes,Yes
All over SD,Quality Recycling,No,No,Yes,Yes
92121,Allan Co. Recycling,No,No,Yes,Yes
92126,Update Green Electronics Recycling,No,Yes,No,No
92064,Poway Material Handling,No,Yes,No,No
92065,Recycling on Earth,No,No,Yes,Yes
92091,Desco Recycling,No,No,Yes,Yes
92029,California Metal Services,No,No,Yes,Yes
92029,Membrane Development Services,No,Yes,No,No
92025,Skyline Recycling,No,No,Yes,Yes
92029,Green-go Recycling,No,Yes,Yes,Yes
